Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray
1,21.6,20.6,19.8,21,20.6
2,20.8,19.8,19.7,21,19.8
3,20.5,18.1,20.6,20.7,18.1
4,20.6,18,20.6,20.4,18
5,20.8,18.4,20.5,20.4,18.4
6,20.7,18.7,20.6,20.2,18.7
7,20.8,18.5,20.4,20.1,18.5
8,20.8,19.4,20.5,20,19.4
9,20.7,18.9,20.5,19.9,18.9
10,20.8,19.2,20.4,19.7,19.2
11,20.8,19.3,20.5,19.7,19.3
12,20.8,19.2,20.4,19.6,19.2
13,20.9,19.4,20.4,19.6,19.4
14,20.6,19.5,20.5,19.6,19.5
15,20.7,19.6,20.5,19.6,19.6
16,21,19.6,20.5,19.4,19.6
17,20.7,19.5,20.5,19.4,19.5
18,20.8,19.3,20.4,19.4,19.3
19,20.9,19.7,20.4,19.4,19.7
20,20.6,19.7,20.4,19.3,19.7
21,20.9,19.7,20.5,19.2,19.7
22,20.5,19.5,20.5,19.3,19.5
23,21,19.7,20.4,19.4,19.7
24,20.9,19.7,20.4,19.3,19.7
25,21,19.6,20.5,19.4,19.6
26,20.8,19.7,20.5,19.4,19.7
27,20.9,19.3,20.5,19.4,19.3
28,20.9,19.2,20.5,19.2,19.2
29,21,19.2,20.6,19.3,19.2
30,20.6,19.3,20.6,19.4,19.3
31,20.9,19.3,20.6,19.3,19.3
32,20.9,19.3,20.6,19.4,19.3
33,20.7,19.4,20.6,19.4,19.4
34,20.9,19.4,20.5,19.3,19.4
35,20.9,19.5,20.5,19.4,19.5
36,20.9,19.5,20.6,19.4,19.5
37,20.8,19.5,20.5,19.4,19.5
38,21,19.6,20.6,19.4,19.6
39,20.8,19.6,20.6,19.3,19.6
40,20.8,19.7,20.6,19.4,19.7
41,20.6,19.6,20.5,19.4,19.6
42,20.7,19.7,20.6,19.4,19.7
43,20.5,19.8,20.6,19.4,19.8
44,20.6,19.8,20.5,19.5,19.8
45,20.7,19.9,20.5,19.5,19.9
46,20.8,19.9,20.5,19.4,19.9
47,20.7,20,20.5,19.4,20
48,20.9,20,20.5,19.5,20
49,20.5,20.1,20.5,19.5,20.1
50,20.8,20.2,20.5,19.5,20.2
,,,,,
