Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray
1,21.9,20.7,21.7,18.9,21.9
2,21.8,20.1,20.6,20.9,21.2
3,21.7,19.8,20.4,21.3,21.1
4,21.7,19.8,20.3,21.4,21.1
5,21.7,19.5,20.1,21.4,21.1
6,21.6,19.3,20.3,21.3,21.1
7,21.6,19.3,20.3,21.3,21.2
8,21.6,19.9,20.3,21.3,21.1
9,21.5,19.4,20.2,21.4,21.2
10,21.6,19.4,20.3,21.4,21.2
11,21.6,19.1,20.3,21.4,21.1
12,21.6,19.5,20.2,21.4,21.2
13,21.6,19.6,20.3,21.3,21.2
14,21.6,19.4,20.4,21.3,21.2
15,21.6,19.7,20.3,21.3,21.1
16,21.7,19.9,20.3,21.3,21.1
17,21.7,19.9,20.3,21.4,21.2
18,21.6,19.9,20.4,21.4,21.2
19,21.6,19.6,20.2,21.4,21.1
20,21.5,19.8,20.3,21.3,21.1
21,21.5,19.8,20.3,21.4,21.1
22,21.6,19.7,20.4,21.4,21.1
23,21.6,19.9,20.3,21.4,21.1
24,21.6,19.7,20.3,21.3,21.1
25,21.6,19.8,20.3,21.4,21.1
26,21.6,19.5,20.2,21.5,21.1
27,21.6,19.6,20.3,21.5,21
28,21.6,21,20.4,21.5,21.1
29,21.5,21.4,20.5,21.4,21
30,21.5,21.1,20.6,21.5,21.2
