Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,21.6,20.6,19.8,21,20.6,4
2,20.8,19.8,19.7,21,19.8,4
3,20.5,18.1,20.6,20.7,18.1,4
4,20.6,18,20.6,20.4,18,3.5
5,20.8,18.4,20.5,20.4,18.4,3
6,20.7,18.7,20.6,20.2,18.7,2.6
7,20.8,18.5,20.4,20.1,18.5,2.3
8,20.8,19.4,20.5,20,19.4,2.2
9,20.7,18.9,20.5,19.9,18.9,2.3
10,20.8,19.2,20.4,19.7,19.2,2.4
11,20.8,19.3,20.5,19.7,19.3,2.7
12,20.8,19.2,20.4,19.6,19.2,2.9
13,20.9,19.4,20.4,19.6,19.4,3.1
14,20.6,19.5,20.5,19.6,19.5,3.2
15,20.7,19.6,20.5,19.6,19.6,3.4
16,21,19.6,20.5,19.4,19.6,3.7
17,20.7,19.5,20.5,19.4,19.5,3.9
18,20.8,19.3,20.4,19.4,19.3,4
19,20.9,19.7,20.4,19.4,19.7,4.1
20,20.6,19.7,20.4,19.3,19.7,4.2
21,20.9,19.7,20.5,19.2,19.7,4.3
22,20.5,19.5,20.5,19.3,19.5,4.4
23,21,19.7,20.4,19.4,19.7,4.5
24,20.9,19.7,20.4,19.3,19.7,4.6
25,21,19.6,20.5,19.4,19.6,4.8
26,20.8,19.7,20.5,19.4,19.7,5
27,20.9,19.3,20.5,19.4,19.3,5
28,20.9,19.2,20.5,19.2,19.2,5
29,21,19.2,20.6,19.3,19.2,5.1
30,20.6,19.3,20.6,19.4,19.3,5.1
31,20.9,19.3,20.6,19.3,19.3,5.1
32,20.9,19.3,20.6,19.4,19.3,4.7
33,20.7,19.4,20.6,19.4,19.4,4.1
34,20.9,19.4,20.5,19.3,19.4,3.7
35,20.9,19.5,20.5,19.4,19.5,3.3
36,20.9,19.5,20.6,19.4,19.5,3
37,20.8,19.5,20.5,19.4,19.5,2.7
38,21,19.6,20.6,19.4,19.6,2.4
39,20.8,19.6,20.6,19.3,19.6,2.2
40,20.8,19.7,20.6,19.4,19.7,2
41,20.6,19.6,20.5,19.4,19.6,1.7
42,20.7,19.7,20.6,19.4,19.7,1.9
43,20.5,19.8,20.6,19.4,19.8,2.5
44,20.6,19.8,20.5,19.5,19.8,2.8
45,20.7,19.9,20.5,19.5,19.9,3
46,20.8,19.9,20.5,19.4,19.9,3.2
47,20.7,20,20.5,19.4,20,3.3
48,20.9,20,20.5,19.5,20,3.5
49,20.5,20.1,20.5,19.5,20.1,3.4
50,20.8,20.2,20.5,19.5,20.2,3.4
