tempM,tempR
7.8,22.2
8,22.2
8.2,22.2
8.5,22.2
8.7,22.2
8.8,22.1
9,22.1
9.2,22.1
9.4,22.2
9.6,22.1
9.7,22.1
9.9,22.2
10.1,22.1
10.2,22.1
10.4,22.1
10.5,22.1
10.7,22.1
10.7,22.1
10.9,22.1
11,22.1
11.2,22.1
11.3,22.1
11.5,22.1
11.6,22.1
11.7,22.1
11.9,22.1
12,22.1
12.1,22
12.2,22
12.3,22
12.4,22.1
12.6,22
12.7,22.1
12.8,22.1
12.9,22.2
13,22.1
13.1,22.1
13.2,22.1
13.3,22.1
13.4,22.1
13.5,22.1
13.6,22.1
13.7,22.1
13.8,22.1
13.9,22.1
14,22.1
14.1,22.1
14.2,22.1
14.3,22.1
14.4,22.1
14.5,22.1
14.6,22.1
14.7,22.1
14.8,22.1
14.8,22.1
14.9,22.2
14.9,22.1
15,22.1
15.1,22.1
15.1,22.1
15.2,22.1
15.3,22.1
15.4,22.1
15.4,22.1
15.5,22.1
15.6,22.1
15.7,22.1
15.8,22.1
15.8,22.1
15.9,22.1
15.9,22.1
16,22.1
16.1,22.1
16.1,22.1
16.2,22.1
16.3,22.2
16.3,22.1
16.4,22.1
16.5,22.1
16.5,22.1
16.6,22.1
16.6,22.1
16.7,22.1
16.7,22.1
16.8,22.1
16.8,22.1
16.9,22.1
17,22.1
17,22.1
17,22.1
17.1,22.1
17.2,22.1
17.2,22.1
17.3,22.1
17.3,22.1
17.4,22.1
17.4,22.1
17.5,22.1
17.5,22.1
17.6,22.1
17.6,22.1
17.7,22.1
17.7,22.1
17.7,22.1
17.8,22.1
17.8,22.1
17.8,22.1
17.9,22.1
17.9,22.1
18,22.1
18,22.1
18,22.1
18.1,22.1
18.1,22.1
18.2,22.1
18.2,22.1
18.3,22.1
18.3,22.1
18.3,22.1
18.4,22.1
18.4,22.1
18.4,22.1
18.5,22.1
18.6,22.2
18.6,22.2
18.7,22.2
18.7,22.2
